Date,UserName,Komentar,Like
2025-06-16T08:50:31Z,@กิตติกรวิชัยโย-ห4ถ,Who else is here before this blows up,0
2025-06-16T08:48:14Z,@Lownerjim,Coach yeb dari onic sih bagus membaca permainan lawan,0
2025-06-16T08:41:32Z,@aidilsyarifah8167,"<a href=""https://www.youtube.com/watch?v=8wOi4vseeKM&amp;t=20835"">5:47:15</a> TEMBAK2 LAH KALAH EKWKWK 😂🎉😂🎉😂",0
2025-06-16T08:36:23Z,@kitty_salma,Sampe kapan dipanggil raja dari segala raja?,0
2025-06-16T08:13:58Z,@khususdownload2845,YSS kena ban RRQ gigit jari,0
2025-06-16T08:13:08Z,@khalil-nt4pv,"mampus rinz ngapain maju maju, kena solo kill sanz wkwkwkw",0
2025-06-16T08:10:24Z,@khususdownload2845,"game 7 RRQ kalah draft, kelihatan tex book, gak mau adu kekuatan, mau serangan balik, mental juaranya masih ada di onic, tapi kejelian dari onic ambil keuntungan dari second pick.<br>kalau kek gini pun dari indo susah melawan PH.<br>BTW granger lagi push MMR hehee",0
2025-06-16T08:08:35Z,@Mhmmdrazivaditama,sampe sekarang masih ga nyangka pas rrq dapet match point dah enak banget bisa kena comeback 😭,0
2025-06-16T08:04:12Z,@BannedPermanen,Onic awal season tercabik cabik tapi mereka tetap bisa membuktikan ini bukanlah akhir,0
2025-06-16T08:00:46Z,@nethchelsondelland980,"<a href=""https://www.youtube.com/watch?v=8wOi4vseeKM&amp;t=26135"">07:15:35</a>. KING RRQ RINZ REFLEK",4
2025-06-16T07:54:36Z,@NadiaNadia-d1s,Mid mana lagi yang punya 5 cincin,0
2025-06-16T07:41:55Z,@Zvinzo,duta runner AP udah ya main raja rajaannyaa🤭😹😹,1
2025-06-16T07:39:42Z,@LarisaStenderay,The editing is top-tier. Seriously impressive,0
2025-06-16T07:39:03Z,@raissashofia3017,rrq aman?😂,0
2025-06-16T07:38:30Z,@MusAry-n8s,Raja dari segala raja badut 😂😂😂<br>Kasihan 😅😅,0
2025-06-16T07:36:25Z,@ayaanabil-o9i,I learned more ini 10 minutes than hours of Googling,0
2025-06-16T07:34:59Z,@rizkikurniawan1798,Respect kiboy pas angkat trofi,0
2025-06-16T07:26:38Z,@saidnur-i9q,RAJA POLLING VS RAJA SESUNGGUHNYA 🔥,0
2025-06-16T07:24:21Z,@ven4050,udah cukup main raja rajaan nya ya adik2😂,0
2025-06-16T07:11:01Z,@sendymaulana712,KONGDOM TETAPLAH KONGDOM..BADUT DARI SEGALA BADUT...🎉🎉🎉,0
2025-06-16T07:09:34Z,@adesetiawan1146,Akhirnya onic menang ❤❤🎉🎉,0
2025-06-16T07:00:23Z,@arikchanel4918,is ONIC time❤❤❤❤,0
2025-06-16T06:56:40Z,@alfianrizky9606,Mulai kocak,0
2025-06-16T06:56:37Z,@evawlee.o2o2h,"<a href=""https://www.youtube.com/watch?v=8wOi4vseeKM&amp;t=26573"">7:22:53</a> sir v",0
2025-06-16T06:55:51Z,@ViollinneElizabeth,#9 to Raja Galaxy. Congratulations Oniccccccc,0
2025-06-16T06:43:44Z,@adamalif9588,Rrq main aja nana &quot;soal nya nana itu ngeselin banget buat counter onic&quot;,0
2025-06-16T06:43:07Z,@muhammaddaffamandalaputra8384,Bro grand final 15 Juta yang Nonton 💀💀,0
2025-06-16T06:37:20Z,@wafiqnoveri3120,segini doang kah?,0
2025-06-16T06:14:24Z,@heartpenned,15 juta views gokil,0
2025-06-16T06:05:46Z,@RastiSilalahi,runner up lagi..😢,0
2025-06-16T06:03:14Z,@faizalabrory3606,Kingdom mewek sampai kecekikan,0
2025-06-16T06:03:12Z,@Whoseurdaddy0009,Raja badut wkwkwkwkwk,0
2025-06-16T05:59:28Z,@tedinakmeletup,"<a href=""https://www.youtube.com/watch?v=8wOi4vseeKM&amp;t=9311"">2:35:11</a>",0
2025-06-16T05:59:18Z,@dhoo_zz123,cuma bisa granger,0
2025-06-16T05:55:59Z,@bodasstudio3346,"TANDAIN YE,..!<br>SELAMA ONIC e-sport + YEB MASIH JUARA MPL,.<br>INDONESIA enggak akan JUARA DI TURNAMEN INTERNASIONAL,.....!!!!",0
2025-06-16T06:27:43Z,@O-e1T,"Season kemarin onic engga juara, indo dapet apa di internasional?😂😂",0
2025-06-16T06:45:11Z,@Mingoo0406,"MSC 2023 itu turnamen internasional kan. Dan ONIC ID yang menang. Artinya? <a href=""http://www.youtube.com/results?search_query=%23cumaonic"">#CUMAONIC</a> 🦔💛👏🏆🏆🏆🏆🏆🏆",0
2025-06-16T05:54:59Z,@lusan2,King runner up,0
2025-06-16T05:51:37Z,@jvrch4738,2077318399,0
